,title,author,num_rating,num_reviews,avg_rating,num_pages,original_publish_year,series,genres,award,place,url
49,The Awakening,Kelley Armstrong,111554,3320,4.13,360.0,2009.0,True,"['Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Fantasy Urban Fantasy', 'Fantasy Supernatural', 'Romance', 'Fantasy Magic', 'Shapeshifters Werewolves', 'Paranormal Ghosts', 'Fiction']",1.0,United States,https://www.goodreads.com//book/show/5391115-the-awakening
50,Fablehaven,Brandon Mull,141774,10161,4.09,351.0,2006.0,True,"['Fantasy', 'Young Adult', 'Childrens Middle Grade', 'Fiction', 'Childrens', 'Adventure', 'Fantasy Magic', 'Childrens Juvenile', 'Young Adult Young Adult Fantasy', 'Science Fiction Fantasy']",2.0,United States,https://www.goodreads.com//book/show/44652.Fablehaven
51,City of Lost Souls,Cassandra Clare,451295,20878,4.25,546.0,2012.0,True,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Fantasy Urban Fantasy', 'Paranormal Vampires', 'Paranormal Angels', 'Fiction', 'Fantasy Supernatural', 'Fantasy Magic']",1.0,United States,https://www.goodreads.com//book/show/8755776-city-of-lost-souls
52,Throne of Glass,Sarah J. Maas,671268,47795,4.19,406.0,2012.0,True,"['Young Adult', 'Fiction', 'Fantasy Magic', 'Young Adult Young Adult Fantasy', 'Fantasy High Fantasy', 'New Adult', 'Adventure', 'Fantasy Paranormal', 'Fairies Fae', 'Mystery']",3.0,,https://www.goodreads.com//book/show/7896527-throne-of-glass
53,Uglies,Scott Westerfeld,581891,23952,3.85,425.0,2005.0,True,"['Young Adult', 'Science Fiction Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Romance', 'Young Adult Teen', 'Adventure', 'Apocalyptic Post Apocalyptic', 'Science Fiction Fantasy']",11.0,,https://www.goodreads.com//book/show/24770.Uglies
54,Perfect Chemistry,Simone Elkeles,245957,10873,4.05,368.0,2008.0,True,"['Romance', 'Young Adult', 'Contemporary', 'Romance Contemporary Romance', 'Young Adult High School', 'Fiction', 'New Adult', 'Realistic Fiction', 'Womens Fiction Chick Lit', 'Young Adult Young Adult Romance']",4.0,United States,https://www.goodreads.com//book/show/4268157-perfect-chemistry
55,Brisingr,Christopher Paolini,318737,9255,4.05,748.0,2008.0,True,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy Dragons', 'Adventure', 'Fantasy Magic', 'Fantasy High Fantasy', 'Fantasy Epic Fantasy', 'Science Fiction Fantasy', 'Young Adult Young Adult Fantasy']",,,https://www.goodreads.com//book/show/2248573.Brisingr
56,Daughter of Smoke & Bone,Laini Taylor,331244,30039,3.99,418.0,2011.0,True,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Paranormal Angels', 'Fantasy Urban Fantasy', 'Fiction', 'Fantasy Magic', 'Young Adult Young Adult Fantasy', 'Fantasy Supernatural']",16.0,Czech Republic,https://www.goodreads.com//book/show/8490112-daughter-of-smoke-bone
57,Magyk,Angie Sage,115525,5213,3.82,564.0,2005.0,True,"['Fantasy', 'Young Adult', 'Fantasy Magic', 'Fiction', 'Childrens Middle Grade', 'Childrens', 'Adventure', 'Young Adult Young Adult Fantasy', 'Audiobook', 'Fantasy High Fantasy']",1.0,,https://www.goodreads.com//book/show/769483.Magyk
58,Glass Houses,Rachel Caine,97436,4893,3.9,239.0,2006.0,True,"['Paranormal Vampires', 'Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Fantasy Urban Fantasy', 'Romance', 'Fantasy Supernatural', 'Fiction', 'Romance Paranormal Romance', 'Paranormal Ghosts']",,United States,https://www.goodreads.com//book/show/27266.Glass_Houses
59,The Luxe,Anna Godbersen,71140,4622,3.63,433.0,2007.0,True,"['Historical Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Fiction', 'Womens Fiction Chick Lit', 'Romance Historical Romance', 'Young Adult Teen', 'Drama', 'Mystery']",1.0,United States,https://www.goodreads.com//book/show/1254951.The_Luxe
60,Obsidian,Jennifer L. Armentrout,243411,18477,4.16,335.0,2012.0,True,"['Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Romance', 'Science Fiction Aliens', 'Science Fiction', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Fiction']",,United States,https://www.goodreads.com//book/show/12578077-obsidian
61,Tempted,P.C. Cast,156828,3429,3.94,319.0,2009.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Supernatural', 'Fiction', 'Romance Paranormal Romance', 'Fantasy Urban Fantasy', 'Fantasy Magic']",1.0,United States,https://www.goodreads.com//book/show/6262365-tempted
62,Torment,Lauren Kate,217519,8033,3.86,452.0,2010.0,True,"['Young Adult', 'Fantasy', 'Paranormal Angels', 'Romance', 'Fantasy Paranormal', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Urban Fantasy', 'Young Adult Teen']",,United States,https://www.goodreads.com//book/show/7740152-torment
63,Moon Called,Patricia Briggs,186960,8681,4.13,289.0,2006.0,True,"['Fantasy Urban Fantasy', 'Fantasy', 'Fantasy Paranormal', 'Paranormal Vampires', 'Romance', 'Shapeshifters Werewolves', 'Romance Paranormal Romance', 'Fiction', 'Paranormal Shapeshifters', 'Fantasy Supernatural']",,United States,https://www.goodreads.com//book/show/71811.Moon_Called
64,Specials,Scott Westerfeld,174444,8008,3.76,384.0,2006.0,True,"['Young Adult', 'Science Fiction Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Romance', 'Young Adult Teen', 'Adventure', 'Apocalyptic Post Apocalyptic', 'Futuristic']",,,https://www.goodreads.com//book/show/24765.Specials
65,Cross My Heart and Hope to Spy,Ally Carter,85251,3467,4.12,236.0,2007.0,True,"['Young Adult', 'Mystery', 'Romance', 'Contemporary', 'Fiction', 'Spy Thriller Espionage', 'Adventure', 'Womens Fiction Chick Lit', 'Young Adult Teen', 'Action']",,United States,https://www.goodreads.com//book/show/568645.Cross_My_Heart_and_Hope_to_Spy
66,The Goose Girl,Shannon Hale,140060,10152,4.1,383.0,2005.0,True,"['Fantasy', 'Young Adult', 'Fantasy Fairy Tales', 'Romance', 'Fiction', 'Retellings', 'Childrens Middle Grade', 'Adventure', 'Childrens', 'Young Adult Young Adult Fantasy']",4.0,,https://www.goodreads.com//book/show/179064.The_Goose_Girl
67,The Historian,Elizabeth Kostova,250731,16493,3.78,704.0,2005.0,False,"['Fiction', 'Historical Historical Fiction', 'Fantasy', 'Horror', 'Mystery', 'Paranormal Vampires', 'Historical', 'Fantasy Paranormal', 'Gothic', 'Thriller']",5.0,Netherlands,https://www.goodreads.com//book/show/30236962-the-historian
68,Alanna: The First Adventure,Tamora Pierce,123018,5191,4.23,274.0,2005.0,True,"['Fantasy', 'Young Adult', 'Fiction', 'Adventure', 'Fantasy Magic', 'Young Adult Young Adult Fantasy', 'Childrens Middle Grade', 'Fantasy High Fantasy', 'Childrens', 'Young Adult Teen']",3.0,,https://www.goodreads.com//book/show/13831.Alanna
69,Fairest,Gail Carson Levine,62408,4171,3.88,326.0,2006.0,True,"['Fantasy', 'Young Adult', 'Fantasy Fairy Tales', 'Romance', 'Fiction', 'Childrens Middle Grade', 'Retellings', 'Fantasy Magic', 'Childrens', 'Fairy Tales Fairy Tale Retellings']",,,https://www.goodreads.com//book/show/183660.Fairest
70,Unwind,Neal Shusterman,202190,19136,4.16,337.0,2007.0,True,"['Young Adult', 'Science Fiction Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Horror', 'Young Adult Teen', 'Thriller', 'Adventure', 'Adventure Survival']",12.0,United States,https://www.goodreads.com//book/show/764347.Unwind
71,Bloodlines,Richelle Mead,175253,8404,4.19,421.0,2011.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Fantasy Magic', 'Fantasy Supernatural', 'Romance Paranormal Romance', 'Fiction']",1.0,United States,https://www.goodreads.com//book/show/8709527-bloodlines
72,Heist Society,Ally Carter,90312,5301,3.9,287.0,2010.0,True,"['Young Adult', 'Mystery', 'Contemporary', 'Romance', 'Fiction', 'Adventure', 'Young Adult Teen', 'Mystery Crime', 'Womens Fiction Chick Lit', 'Realistic Fiction']",3.0,United States,https://www.goodreads.com//book/show/6574102-heist-society
73,Hex Hall,Rachel Hawkins,140284,8484,3.92,323.0,2010.0,True,"['Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Fantasy Magic', 'Romance', 'Paranormal Vampires', 'Paranormal Witches', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Paranormal Demons']",,United States,https://www.goodreads.com//book/show/5287473-hex-hall
74,"Night World, No. 1",L.J. Smith,61878,2154,4.05,729.0,2008.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Supernatural', 'Paranormal Witches', 'Romance Paranormal Romance', 'Fiction', 'Fantasy Magic']",,,https://www.goodreads.com//book/show/3099787-night-world-no-1
75,The Red Pyramid,Rick Riordan,339988,13539,4.08,516.0,2010.0,True,"['Fantasy', 'Young Adult', 'Fantasy Mythology', 'Childrens Middle Grade', 'Adventure', 'Fiction', 'Childrens', 'Fantasy Magic', 'Fantasy Urban Fantasy', 'Science Fiction Fantasy']",5.0,United Kingdom,https://www.goodreads.com//book/show/7090447-the-red-pyramid
76,Just Listen,Sarah Dessen,238549,8231,4.05,371.0,2006.0,False,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Womens Fiction Chick Lit', 'Young Adult Teen', 'Music', 'Young Adult Young Adult Contemporary', 'Young Adult High School']",5.0,United States,https://www.goodreads.com//book/show/51738.Just_Listen
77,The Shadow of the Wind,Carlos Ruiz Zafón,495910,38232,4.27,487.0,,True,"['Fiction', 'Historical Historical Fiction', 'Mystery', 'Fantasy', 'Writing Books About Books', 'Historical', 'Cultural Spain', 'Magical Realism', 'European Literature Spanish Literature', 'Gothic']",11.0,Spain,https://www.goodreads.com//book/show/1232.The_Shadow_of_the_Wind
78,Anna and the French Kiss,Stephanie Perkins,379657,30250,4.0,372.0,2010.0,True,"['Young Adult', 'Romance', 'Contemporary', 'Womens Fiction Chick Lit', 'Fiction', 'Realistic Fiction', 'Young Adult Young Adult Contemporary', 'Romance Contemporary Romance', 'Young Adult Young Adult Romance', 'Young Adult Teen']",9.0,France,https://www.goodreads.com//book/show/6936382-anna-and-the-french-kiss
79,Clockwork Princess,Cassandra Clare,366574,31956,4.55,567.0,2013.0,True,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Science Fiction Steampunk', 'Historical Historical Fiction', 'Fantasy Urban Fantasy', 'Paranormal Angels', 'Fiction', 'Historical']",1.0,United Kingdom,https://www.goodreads.com//book/show/18335634-clockwork-princess
80,The Looking Glass Wars,Frank Beddor,42180,3860,3.93,364.0,2006.0,True,"['Fantasy', 'Young Adult', 'Fiction', 'Retellings', 'Adventure', 'Science Fiction Steampunk', 'Fantasy Magic', 'Fantasy Fairy Tales', 'Young Adult Young Adult Fantasy', 'Young Adult Teen']",1.0,,https://www.goodreads.com//book/show/44170.The_Looking_Glass_Wars
81,The Subtle Knife,Philip Pullman,387665,10700,4.13,370.0,,True,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Adventure', 'Science Fiction', 'Science Fiction Fantasy', 'Audiobook', 'Science Fiction Steampunk', 'Childrens Middle Grade']",2.0,,https://www.goodreads.com//book/show/41637836-the-subtle-knife
82,Silence,Becca Fitzpatrick,253224,8256,4.11,448.0,2011.0,True,"['Young Adult', 'Fantasy', 'Paranormal Angels', 'Romance', 'Fantasy Paranormal', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Urban Fantasy', 'Young Adult Young Adult Fantasy']",1.0,United States,https://www.goodreads.com//book/show/10637766-silence
83,Evernight,Claudia Gray,78984,3319,3.64,327.0,2008.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Fiction', 'Young Adult Teen']",,,https://www.goodreads.com//book/show/2722413-evernight
84,Blue Moon,Alyson Noel,91569,3764,3.6,284.0,2009.0,True,"['Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Supernatural', 'Romance Paranormal Romance', 'Fiction', 'Fantasy Magic', 'Fantasy Urban Fantasy', 'Young Adult Teen']",1.0,United States,https://www.goodreads.com//book/show/6134826-blue-moon
85,Masquerade,Melissa de la Cruz,89798,2145,3.9,307.0,2007.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Supernatural', 'Paranormal Angels', 'Fantasy Urban Fantasy', 'Fiction', 'Romance Paranormal Romance']",,,https://www.goodreads.com//book/show/106085.Masquerade
86,Vampire Kisses,Ellen Schreiber,49682,2317,3.72,253.0,2005.0,True,"['Paranormal Vampires', 'Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Romance', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Young Adult Teen', 'Fantasy Urban Fantasy']",,,https://www.goodreads.com//book/show/263147.Vampire_Kisses
87,Don't Judge a Girl by Her Cover,Ally Carter,65809,2688,4.21,263.0,2009.0,True,"['Young Adult', 'Mystery', 'Romance', 'Contemporary', 'Fiction', 'Spy Thriller Espionage', 'Adventure', 'Womens Fiction Chick Lit', 'Young Adult Teen', 'Action']",1.0,United States,https://www.goodreads.com//book/show/5267365-don-t-judge-a-girl-by-her-cover
88,The Sweet Far Thing,Libba Bray,68474,3876,3.95,819.0,2007.0,True,"['Fantasy', 'Young Adult', 'Historical Historical Fiction', 'Historical', 'Fiction', 'Romance', 'Fantasy Paranormal', 'Fantasy Magic', 'Young Adult Young Adult Fantasy', 'Young Adult Teen']",,,https://www.goodreads.com//book/show/127459.The_Sweet_Far_Thing
89,Linger,Maggie Stiefvater,159654,9645,3.89,362.0,2010.0,True,"['Young Adult', 'Fantasy', 'Romance', 'Fantasy Paranormal', 'Shapeshifters Werewolves', 'Fiction', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Young Adult Young Adult Fantasy']",1.0,United States,https://www.goodreads.com//book/show/6654313-linger
90,Rebel Angels,Libba Bray,111176,3404,3.92,548.0,2006.0,True,"['Fantasy', 'Young Adult', 'Historical Historical Fiction', 'Historical', 'Fiction', 'Romance', 'Fantasy Paranormal', 'Fantasy Magic', 'Young Adult Teen', 'Young Adult Young Adult Fantasy']",,,https://www.goodreads.com//book/show/51428.Rebel_Angels
91,Touched,Elisa S. Amore,6084,683,3.79,,2016.0,True,"['Fantasy', 'Fantasy Paranormal', 'Young Adult', 'Romance', 'Paranormal Angels', 'Romance Paranormal Romance', 'Fantasy Urban Fantasy', 'Fantasy Supernatural', 'Fiction', 'Unfinished']",,United States,https://www.goodreads.com//book/show/28666513-touched
92,Acheron,Sherrilyn Kenyon,56165,3676,4.55,728.0,2008.0,True,"['Romance Paranormal Romance', 'Fantasy Paranormal', 'Romance', 'Fantasy', 'Paranormal Vampires', 'Fantasy Urban Fantasy', 'Fantasy Mythology', 'Adult', 'Fiction', 'Paranormal Demons']",,United States,https://www.goodreads.com//book/show/2299110.Acheron
93,Revelations,Melissa de la Cruz,76212,1651,3.9,264.0,2008.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Paranormal Angels', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fiction']",,,https://www.goodreads.com//book/show/2753843-revelations
94,Shadowland,Jenny Carroll,66945,2510,4.02,287.0,,True,"['Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Paranormal Ghosts', 'Fiction', 'Fantasy Supernatural', 'Mystery', 'Womens Fiction Chick Lit', 'Young Adult Teen']",,United States,https://www.goodreads.com//book/show/187811.Shadowland
95,Coilhunter,Dean F. Wilson,914,129,4.14,210.0,2017.0,True,"['Science Fiction', 'Science Fiction Steampunk', 'Westerns', 'Fantasy', 'Science Fiction Dystopia', 'Westerns Weird West', 'Fiction', 'Action', 'Audiobook', 'Business Amazon']",,,https://www.goodreads.com//book/show/33977027-coilhunter
96,Wake,Lisa McMann,80037,5481,3.75,210.0,2008.0,True,"['Young Adult', 'Romance', 'Fiction', 'Fantasy Supernatural', 'Fantasy', 'Mystery', 'Young Adult Teen', 'Fantasy Urban Fantasy', 'Fantasy Paranormal', 'Romance Paranormal Romance']",3.0,United States,https://www.goodreads.com//book/show/1661957.Wake
97,The Son of Neptune,Rick Riordan,442692,16539,4.42,513.0,2011.0,True,"['Fantasy', 'Young Adult', 'Fantasy Mythology', 'Fiction', 'Childrens Middle Grade', 'Adventure', 'Childrens', 'Mythology Greek Mythology', 'Fantasy Urban Fantasy', 'Young Adult Young Adult Fantasy']",2.0,United States,https://www.goodreads.com//book/show/9520360-the-son-of-neptune
98,The Van Alen Legacy,Melissa de la Cruz,64378,1538,3.95,369.0,2009.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Paranormal Angels', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Fiction', 'Romance Paranormal Romance']",1.0,,https://www.goodreads.com//book/show/6267237-the-van-alen-legacy
99,Terrier,Tamora Pierce,69337,1998,4.1,581.0,2006.0,True,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy Magic', 'Young Adult Young Adult Fantasy', 'Adventure', 'Mystery', 'Fantasy High Fantasy', 'Young Adult Teen', 'Childrens']",3.0,,https://www.goodreads.com//book/show/13829.Terrier
